Name,Is Fork,Commits,Branches,Default Branch,Releases,Contributors,License,Watchers,Stargazers,Forks,Size,Created At,Pushed At,Updated At,Homepage,Main Language,Total Issues,Open Issues,Total Pull Requests,Open Pull Requests,Last Commit,Last Commit SHA,Has Wiki,Is Archived,Languages,Labels,spring,test,checkstyle,maven,gradle,gradle_on_root,maven_usage_on_root,score
sirixdb/sirix,False,2736,8,master,0,39,BSD 3-Clause New or Revised License,33,682,135,74477,2012-06-09 02:22:14.0,2021-10-31 22:40:45.0,2021-11-01 05:34:18.0,https://sirix.io,Java,169,67,272,2,2021-10-31 22:40:45.0,0e4449c25ffd644a4c997e7caf74027c6d5e1786,True,False,"Java,Kotlin,XQuery,XSLT,HTML,Dockerfile,Shell","bug,dependencies,duplicate,enhancement,good first issue,Hacktoberfest,help wanted,invalid,question,wontfix",1,799,0,1,1,1,0,17.98351312651443
opencb/opencga,False,12536,143,develop,55,39,Apache License 2.0,26,124,79,118671,2013-08-23 16:42:20.0,2021-11-04 14:06:43.0,2021-11-04 14:06:46.0,,Java,1445,422,390,18,2021-11-04 14:06:25.0,fa11331aa56d0bf676ea5ad350c6f0b4f4e5781d,True,False,"Java,Jupyter Notebook,JavaScript,Python,R,Shell,CSS,Dockerfile,HTML,Mustache,Makefile,Smarty","analysis,api-change,azure,azure-smoke,azure-tf,blocked,bug,catalog,change,client,clinical,command line,dependencies,desired,devops,docker,documentation,duplicate,feature,federation,Genomics England,hbase,improvement,invalid,issue needs review,java,javascript,Jenkins,kubernetes,migration,performance,quality,question,quickfix,search,storage,task,test,web services,wontfix",1,700,1,1,0,0,1,17.77067171081707
netflix/titus-control-plane,False,1556,39,master,496,15,Apache License 2.0,257,307,66,37437,2017-10-17 22:20:55.0,2021-11-04 20:53:47.0,2021-11-04 20:52:40.0,http://netflix.github.io/titus/,Java,11,4,1154,4,2021-11-04 20:52:36.0,3851eaaf539df0f4c10babe4d210b7758d8307a5,False,False,"Java,Shell,HTML","bug,duplicate,enhancement,good first issue,help wanted,invalid,question,wontfix,work in progress",1,805,0,0,1,1,0,16.569535744650473
athou/commafeed,False,2558,11,master,5,72,Apache License 2.0,103,1828,308,8753,2013-03-20 19:32:09.0,2021-10-29 05:58:00.0,2021-10-30 03:43:34.0,https://www.commafeed.com,Java,664,118,311,17,2021-04-04 17:00:52.0,d8a4da7ec852d0f4ad2f5229001b5c7a50311084,True,False,"Java,JavaScript,HTML,SCSS,Batchfile,Shell","bug,dependencies,duplicate,enhancement,invalid,question,wontfix",1,33,1,1,0,0,error,16.540303210919845
spring-cloud-samples/spring-cloud-contract-samples,False,797,17,main,0,22,Apache License 2.0,23,318,290,22556,2016-11-09 12:30:56.0,2021-10-29 05:08:18.0,2021-10-29 07:14:59.0,,Java,47,8,279,8,2021-10-25 07:58:55.0,aa9701d22a7e8ac769444550bf3203609d62d3c4,True,False,"Java,Kotlin,Groovy,Shell,JavaScript,HTML","bug,dependencies,documentation,duplicate,enhancement,gradle-wrapper,help wanted,in progress,invalid,question,security,task,waiting for feedback,wontfix",1,714,0,1,1,1,1,16.228693325036957
dekorateio/dekorate,False,1324,9,master,9,36,Apache License 2.0,13,336,78,15622,2018-11-14 15:30:03.0,2021-11-05 13:50:46.0,2021-11-07 00:22:58.0,,Java,306,50,498,2,2021-11-05 13:22:59.0,ada145a3a61bd960d319f0a85bdfd04669638d4b,True,False,"Java,Groovy,Shell,Dockerfile,Starlark,Scala","7 - Community development,bug,dependencies,discussion,documentation,duplicate,enhancement,Epic,help wanted,invalid,low hanging fruit,question,task,test,wontfix",1,695,0,1,1,0,1,16.00137004573009
getsentry/sentry-java,False,1176,19,main,86,36,MIT License,47,738,353,15535,2012-02-06 15:46:55.0,2021-11-04 16:29:00.0,2021-11-04 16:52:34.0,https://docs.sentry.io/,Java,896,107,881,9,2021-11-01 16:23:44.0,2d8a74aff519a99f44b49d3172ff66775662f9eb,False,False,"Java,Kotlin,C,Shell,JavaScript,CMake,Makefile,C++","Android,api-19,Apollo,attachments,bug,build warning,Coroutines,Craft,dependencies,Desktop,documentation,duplicate,enhancement,feature request,good first issue,GraalVM,Hacktoberfest 🎃,Hacktoberfest-accepted,help wanted,invalid,Java,Java 1.8 issue,JavaFX,JDK-17,Jetpack Compose,JNDI,JUL,kotlin-extensions,Legacy SDK,log4j2,Logback,logcat,NDK,OkHttp,OSGi,performance,Public API Request,Qt,question,release health,repository maintenance,security,serverless,servlet,Spring,spring-boot,Status: Untriaged,timber,triage,up-for-grabs,user-consent,waiting for feedback,WebFlux,wontfix",1,475,0,0,1,1,0,15.716684253521729
apache/syncope,False,7559,11,master,2,33,Apache License 2.0,33,156,134,60477,2014-10-23 07:00:10.0,2021-11-05 09:06:53.0,2021-11-06 23:35:33.0,https://syncope.apache.org/,Java,0,0,290,1,2021-11-05 08:02:18.0,d37e91928c22853d12ff01bc5e3bb201f6054051,False,False,"Java,HTML,Groovy,SCSS,CSS,JavaScript,PLpgSQL,TSQL,Shell,Dockerfile,XSLT,ANTLR,Batchfile","bug,duplicate,enhancement,help wanted,invalid,question,wontfix",1,592,1,1,0,0,1,15.568051650278285
googlecloudplatform/spring-cloud-gcp,False,1717,17,main,8,83,Apache License 2.0,18,130,96,17416,2020-04-22 18:19:22.0,2021-11-05 17:24:07.0,2021-11-06 05:10:51.0,,Java,193,71,493,9,2021-11-05 17:21:15.0,944cf73c200ef05a20cc6305e3368bf9cd988819,True,False,"Java,HTML,Kotlin,Shell,CSS,FreeMarker","automerge,automerge: exact,awaiting,bigquery,bug,build,cloud-sql,code-quality,core,datastore,dependencies,documentation,duplicate,enhancement,firebase,firestore,good first issue,help wanted,invalid,kms,kotlin,logging,metrics,p0,p1,p2,P3,p4,process,pubsub,question,release-blockers,secret-manager,spanner,spanner-arch,spring-boot-2.5,spring-boot-2.6,storage,team-starter-bug,testing,trace,wip,wontfix",1,721,1,1,0,0,1,15.3250756710952
1c-syntax/bsl-language-server,False,5114,25,develop,52,40,Other,19,192,82,88087,2018-12-31 09:03:18.0,2021-11-04 19:53:19.0,2021-11-03 13:44:01.0,https://1c-syntax.github.io/bsl-language-server,Java,883,312,1010,17,2021-11-03 13:43:57.0,e6da12a6eff3fdeeaa067475eeb9c941c182d449,False,False,"Java,1C Enterprise,Kotlin,Python,Shell","component/cli,component/codeAction,component/codeLens,component/color,component/completion,component/core,component/definition,component/dev,component/diagnosticProvider,component/diagnostics,component/docs,component/documentHighlighting,component/documentLink,component/documentSymbol,component/folding,component/formatter,component/hover,component/metric,component/quickFix,component/rename,component/reporter,component/selectionRange,dependencies,duplicate,github_actions,good first issue,hacktoberfest-accepted,help wanted,invalid,java,pr/waits-for-feedback,require/dfa,require/metadata,type/bug,type/discuss,type/enhancement,type/FN,type/FP,type/sonarqube,wontfix",1,793,0,0,1,1,0,15.26748108951105
